Date,Close,Open,High,Low,Vol
8/26/2021,46831.6,48994.4,49347.8,46360.4,73790
8/27/2021,49064.3,46830.2,49142,46371.5,62470
8/28/2021,48897.1,49062.8,49289.4,48428.5,36730
8/29/2021,48777.4,48899.7,49621.7,47870.1,47620
8/30/2021,46992.7,48777.1,48886,46876.9,61680
8/31/2021,47130.4,46989.1,48217,46709.3,71480
9/1/2021,48819.4,47129.2,49121,46533.1,74380
9/2/2021,49274.3,48817.8,50355.3,48612.9,80210
9/3/2021,49999,49269.5,51008.8,48377.3,88080
9/4/2021,49918.4,49999.3,50534.6,49461.4,48140
9/5/2021,51768.6,49918.7,51878.2,49492.4,57300
9/6/2021,52672.1,51769.4,52726.2,51002.8,69460
9/7/2021,46779.6,52674.2,52885.3,43072.4,187560
9/8/2021,46061.4,46774.1,47316.9,44493.7,100480
9/9/2021,46385.6,46057.6,47305.7,45609,73630
9/10/2021,44842.8,46385.9,47021.6,44283.6,75620
9/11/2021,45161.9,44844.9,45975.6,44766.6,41580
9/12/2021,46062.3,45162.6,46386.4,44755.2,44520
9/13/2021,44949.5,46060.8,46807.7,43463.2,96150
9/14/2021,47077.5,44950.2,47247.6,44718.7,65330
9/15/2021,48130.6,47070.8,48436.5,46743.9,63400
9/16/2021,47748,48132.3,48480.6,47040.3,60910
9/17/2021,47282.8,47748.2,48155.9,46788.8,50160
9/18/2021,48306.7,47283.9,48761,47070.5,43640
9/19/2021,47238.7,48299.9,48341.9,46866.6,41980
9/20/2021,42870.6,47240.8,47323.9,42547.1,77960
9/21/2021,40651.3,43012.3,43619.3,39646.8,142550
9/22/2021,43551.6,40660.8,43976.7,40585.7,93980
9/23/2021,44869.2,43550.7,44949.8,43090.1,74540
9/24/2021,42819.9,44867.4,45112,40908.5,128880
9/25/2021,42686.8,42818.7,42959.3,41714.5,46350
9/26/2021,43203.4,42685.8,43907.3,40786.6,69910
9/27/2021,42172.6,43200.9,44293.2,42143.9,54120
9/28/2021,41022.3,42169.9,42758.8,40906.4,60010
9/29/2021,41536.8,41023.1,42571.2,40815,48210
9/30/2021,43823.3,41534.5,44101.2,41416.7,64320
10/1/2021,48146,43824.4,48435.2,43292.9,94660
10/2/2021,47666.9,48147.2,48306.9,47451.7,39820
10/3/2021,48200.1,47665.4,49165.2,47123,42410
10/4/2021,49227.3,48200.4,49481.7,46958.6,66920
10/5/2021,51469.3,49229.5,51872.4,49060.1,76630
10/6/2021,55323.2,51470,55676.1,50439.5,116260
10/7/2021,53783.9,55325.2,55325.6,53476.4,75680
10/8/2021,53914.7,53785.5,55977.9,53659.3,64050
10/9/2021,54942.5,53924.1,55430.8,53711.7,64650
10/10/2021,54687.7,54942.5,56432.2,54100.8,104430
10/11/2021,57477.3,54686.9,57814.1,54457.8,73840
10/12/2021,56015.9,57480.6,57635.7,54155.4,74850
10/13/2021,57380.1,56014.5,57697.4,54314.4,73620
10/14/2021,57345.8,57370.4,58506.5,56866.8,59840
10/15/2021,61672.5,57348.2,62892.8,56874.8,121480
10/16/2021,60861.1,61669.2,62329.2,60161.9,49930
10/17/2021,61527.5,60865.5,61651.4,59143.4,53390
10/18/2021,62056.3,61525.8,62623.6,60026.9,80150
10/19/2021,64278.5,62030.2,64454,61451,80160
10/20/2021,65979.1,64276.9,66967.1,63543.7,79870
10/21/2021,62210.2,66004.6,66616.9,62092.1,105380
10/22/2021,60690.3,62200.8,63699.7,60055.7,75690
10/23/2021,61312.5,60693.2,61728.7,59738.3,37050
10/24/2021,60866.5,61308.2,61469.9,59523.7,42670
10/25/2021,63067,60864.3,63694.8,60655.8,51060
10/26/2021,60310.8,63067.5,63275.1,59907.3,57130
10/27/2021,58438.1,60312.5,61452.9,58112.6,88110
10/28/2021,60582.5,58437.2,62251.3,58128.1,88470
10/29/2021,62242.8,60579.9,62952.2,60322.2,63390
10/30/2021,61840.1,62245,62338.5,60786,40510
10/31/2021,61309.6,61842.2,62393.7,60005.7,50060
11/1/2021,60915.3,61310.1,62430.1,59612.7,61210
11/2/2021,63221.7,60912.2,64256.4,60651.5,65260
11/3/2021,62918.5,63223.5,63508.6,60883,61050
11/4/2021,61412.6,62915.4,63077.6,60742.9,49910
11/5/2021,60974.3,61411.5,62560.3,60742.4,44460
11/6/2021,61483.9,60973.2,61543.2,60093.6,34890
11/7/2021,63273.2,61483.8,63273.2,61347.2,34340
11/8/2021,67527.9,63276.4,67763.3,63276.4,81080
11/9/2021,66904.4,67528.7,68493.3,66334.9,66130
11/10/2021,64932.6,66942.6,68990.6,62951.3,96210
11/11/2021,64806.7,64922.8,65583.3,64121.9,50370
11/12/2021,64134.5,64782.6,65449.7,62309.7,63270
11/13/2021,64398.6,64133.3,64906,63381.4,30340
11/14/2021,65508.2,64397.2,65508.2,63608.3,33980
11/15/2021,63597.9,65514.9,66311.2,63439.5,53530
11/16/2021,60089.1,63605.1,63605.6,58655.9,115360
